,Category,Response_preprocessed
5175,MovedOut, I am no longer with Aussie please contact phoebe. cruckshank@aussie.com. au for any enquiries
2686,Deactivated,Im not interested at this time thanks. 
1011,OutOfOffice," Im away from my laptop celebrating my sister-in-law's wedding Please contact Adam Jay VP Commercial Sales at adam@getreprise.com ,adam@getreprise.coma if you need a quick response. Otherwise I will be back on Tuesday October 12th. "
1030,OutOfOffice,"Thanks for sending an email my direction
I will be out of the office Wednesday September 9th through Friday September 11th with very limited access to email. "
4667,OutOfOffice,Thank you for your email. I will be out on PTO today October 11th. I will be checking emails intermittently so if you need me right awayplease calltext me
829,Retired,I am retired and not sure you really want to speak to me
4020,OutOfOffice,I am on leave till 8th November 2021. Please mail to Manasi. Dharme@Excellarate.com for any support required in my absence. 
97,OutOfOffice,Im currently out of the office for scheduled vacation. Starting 101121 and I will return Monday 07/27/20. My responses will be limited during this time please contact shift safety specialists for safety related issues. Debbie Vandersyde:  Workers comp Coviddeborah. vandersyde@metalsa.comJeff Wilson: EHSjeffrey. wilson@metalsa.comBrandon Petz: Safety Enginneringprojectsbrandon. petz@metalsa.com
1670,ConnectLater,We just built a team in India that is helping with these efforts. Thank youfor your help. 
4156,SupportAutoResponse,Thank you for your email. Your service request has been assigned ticket number TKT-3812688-M6R2K1. If after 2 business days you have not received a response you may escalate by emailing apescal@microsoft.com. Please keep subject line intact with ticket number. In the meantime please review our Self-help Tools and Frequently Asked Questions for SupplierPayee:SELF-HELP TOOLS  FOR MICROSOFT EMPLOYEESELF-HELP TOOLS  FOR SUPPLIERPAYEEClick here
2820,Deactivated,We are a Pharmaceuticals manufacturing company  not a healthcare service provider. Hope your services may not be relevant to us. 
622,AgreedToMeet,I would love to set up a time to chat. 
567,Deactivated, Thank you for the information. But I am more into Digital Transformationand Automation. I was in the maintenance profile long back. 
4291,Deactivated,Not for me 
1401,OutOfOffice,"Currently I am on leave. Will be joining back office on Monday. Will check
if we have some requirement for these products. "
52,Deactivated,Thank you for your email. Right now there are no requirements
1832,Retired,My long planned retirement from the firm took effect from 30 September 2020. I have now left KPMG and will not be picking up emails with immediate effect. In relation to any KPMG related matter please contact Eleanor Holden on eleanor.holden@kpmg.co.uk or 020 7896 4971.  In relation to any personal matters please contact Samantha Heath on sam@melrichards.co.ukmailto:sam@melrichards.co.uk or 07729 254848.-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
1651,ConnectLater,thanks but we are good to go
746,SeekingMoreInfo,All necessary information that asked for you can find inthe document via the link below. 
3729,Deactivated, I think were going to pass on this opportunity for now. 
2597,ConnectLater, I have shared your email with my counterpart who manages such resources. He will connect with you in case if we have any requirement. 
1306,OutOfOffice,I'm currently on annual leave until the October 23rd. I will respond on my return.
196,ConnectLater,Thanks for reaching out. We currently dont have any requirement for content creation but we will be in touch if something comes up. 
1177,SupportAutoResponse,Please type your reply above this line -Thank you for contacting Headway.This is just a quick note letting you know weve received your message and will be in touch soon.Ticket: 40972--------------------------------
4990,AgreedToMeet,Depends on the volume and other specifics. Please share your contact number.   
803,SeekingMoreInfo,lI am reaching out in reference to your email conversation with my colleaguePalak regarding our digital marketing offerings SEOSMOPPC. 
4624,OutOfOffice,"Thanks for your email. I'm on leave on Friday 25th of September and will be returning Monday 28th. I will respond to your email on my return. Have a great day. 
Shane"
3668,Deactivated,Our Group is essentially a Trading Organisation and there is very littlemanufacturing. We are based in Oman. Your services may be of limited value to us. 
1169,OutOfOffice,I am out of the office on maternity leave with limited access to email clean clothes quality sleep and time to shower
3468,SeekingMoreInfo,Please  let us have more details about your temporary staffing business its scale no. of associates  geographical spread locations etc. Samerecruitment services as well.
3444,ConnectLater,Sure we ll keep you posted in future.
3415,ReferredSomeone,If you need immediate assistance please contact us at hr@tekfriday.com
4731,Deactivated,No Thank you. 
3089,SeekingMoreInfo,I am looking for job. So please offer me for job it is very helpful for me. . 
645,SupportAutoResponse,Please type your reply above this line -Your request Reference from Alexs email 4035825595212 has been received and is now being reviewed by the GL Helpdesk.The IT Service Desk is currently receiving a very high volume of traffic and we are now working at capacity and tickets are being triaged on a priority basis.Please continue to submit IT issues in the normal manner but please also bear with us at this very busy time.
1346,Deactivated,Thanks for the second reach out on this but not really interested at this time or is this my direct involvement. 
4024,ConnectLater,Im sorry for the late response. I have brought this to the attention of myteam to see what happened. Ill get back to you as soon as possible. Ireally appreciate the follow upThank youJuli
1439,Deactivated,Thank you for contacting us and offer your services. Unfortunately we are not interested in the services that you offer. 
121,MovedOut,Thank you for your email. Please be informed that Alin is no longer employed at Knowbe4 and thismailbox is no longer active. Please forward your request to markp@knowbe4.com who will be handlingany further communications
2403,OutOfOffice,I will be on PTO on 16th 17th and 18th December and followed by Saturday & Sunday hence responses will be delayed. 
2700,OutOfOffice,I am out of the office on Friday 23 October. If you need any assistance please do not hesitate to contact Denise Schreuder (denise. schreuder@rhdhv.com and +31 88 348 0335).
1821,Deactivated,At the moment I have no Interest in a new job opportunity. 
4355,SeekingMoreInfo,Notifications from HTI USAxc2xaeDocuments Document Name Received Date Deposit Confirmation
3786,AgreedToMeet,Will do talk to you in a few. 
3440,OutOfOffice,Thank you for your email. I am on vacation and will return to work on 4th Jan. Please expect a delay in response. 
1814,OutOfOffice,I am away from the office from 20 Dec-3 Jan on PTO/holidays returning on 6 Jan. 
5287,OutOfOffice,I am OOO returning Monday October 18th. If your matter is urgent please reach out via my mobile. 
135,SeekingMoreInfo,Thanks for the details  What are your charges 
2878,OutOfOffice,I am working from client office and have limited access to emails. Please expect delay in response to your email. 
2342,ConnectLater,Thanks for the email. I have forwarded your details to concerned team incase of any need they will get in touch with you. 
512,ConnectLater,Adding Ash.   
63,SupportAutoResponse,We recently received a request to change your Salesforce accounts email address for username ashley@7targets.com.Previous email address: rakesh.coe@gmail.comNew email address: ashley@self.7ts-e.comTo finish changing your email address go to the following link. This link expires in 72 hours.
3113,Deactivated,Thank you for reaching out. We really appreciate your offer but we arealready engaging with another recruitment firm to help with the search. 
1438,SeekingMoreInfo,kindly send your proposal along with your company profile and cliental base
3036,SupportAutoResponse,This is the Email System.Im sorry to have to inform you that your message could notbe delivered to one or more recipients. Its attached below.For further assistance please open a ServiceNow ticket orcontact postmaster@greatdentalplans.com if you believe this isan error.If you do so please include this problem report. You candelete your own text from the attached returned message. The Email Systemkelly.reager@greatdentalplans.com: host doralusa-com.mail.protection.outlook.com104.47.55.110 said: 550 5.4.1 
3040,SeekingMoreInfo,We want to set a proposal regarding the payment terms as 45 days payment policy after candidate joining. Please revert as a confirmation and send across the agreement document for further process. Please feel free to contact me regarding the proposal. 
