,Category,Response_preprocessed
2257,SeekingMoreInfo,Thanks for your emails. Im not sure what are you trying to follow with meon. I wenxe2x80x99t through all emails I received from you and couldnxe2x80x99t find anydetails. Could you please remind me or forward any email communications wehad regarding services you offer. 
2172,MovedOut,thank you for your message. I am no longer with Temenos please direct your enquiry to Bijumon Jacob at bijumon. jacob@temenos.comThe information in this e-mail and any attachments is
1740,OutOfOffice,I am Out of the Office until Monday November 30th with somewhat limited access to e-Mail and Voicemail but will be checking daily. Please contact Ed Conant at Ed. Conant@Tecomet.com or (603) 626-3139. If this is urgent call my mobile phone at (513) 404-1586. I will respond as soon as possible.
3390,Deactivated,We are not interested.
1651,ConnectLater,Sorry for the quietness from this end. All kinds of stuff going on. working a step at a time. there is no questionthat we will use your services should we move in that direction. . . will be in touch up ahead. 
933,SeekingMoreInfo, Thanks for your email. A few questions from me:1 Which role are you suggesting I would be a good fit for I am a SeniorInvestment Associate but your email seems to suggest you want me to applyfor the Director role2 What other areas of renewables do they traditionally invest in3 Is carried interest the only performance compensation they provideKind 
2116,SeekingMoreInfo,We have no contract in existence I believe. Your person Rosy did not send even one candidate. There is no communication  no response from your side since the start ofthe contract.
3149,AgreedToMeet,Yes I am still interested. 
260,ConnectLater,The Emails were going to my Other Colleague. I will connect once I feel there is a Need
2993,ReferredSomeone,Please note that my mail id has been changed to kiyer@indorama.in.
2842,MovedOut,Thank you for your correspondence. This mailbox is no longer associated with an employee agent or contractor of Chinese Hospital. To reach a Chinese Hospitals IT Department please contact Abel Lai at abell@chasf.org
3080,ReferredSomeone,We had several technical difficulties with the @headhunting. games emails so we have now moved to a new email address. Please reach me onRian@meta-headhunting.comKind 
2461,AgreedToMeet,No worries we can do UK Time 12. 30 PMPlease use the same link for the meeting.
1456,ConnectLater,We have recently filled the roll that we were advertising but should we be in the market in the future I will keep your business in mind. ThanksGerard
2650,ConnectLater,Thank you for mail and your kind offerings.  I am sorry I do not require your services at the moment in case if any requirements I will come back to you.
1589,ConnectLater,Were not currently looking to expand the commercialdevelopment team but I will let my CEO aware for future reference
3099,SeekingMoreInfo,Thank you for the email. I could be mistaken but I dont think I have heard from you since early March. Is this a different opportunity to the one presented in March
2120,Unsubscribed,Can you please remove me from your list We have our own inhouse staffingrecruitment team. 
2489,ReferredSomeone,Your email is being auto-forwarded to my new email ID arjun. sirur@cotmac.ioKindly note that my email id has been changed and new email is arjun. sirur@cotmac.ioYou are requested to save the new email ID in your contact list. Henceforth kindly send your emails to my new email ID. 
2677,MovedOut,My last day at PCM is 3/5/2021. Please contact Tee Lea 
860,ConnectLater,We might not be interested as of now. Will connect you in future.
1588,Deactivated,Thanks.  We have no need right now. 
2360,SeekingMoreInfo,Thank you very much for your support  please give my email id to concernperson   
2207,Deactivated,No tks
2011,ReferredSomeone,Im sorry I dont do the recruitment for the school.  You may have seen a post I shared for my colleague at VISS Central. Your point of contact at VISS would be Julie Howell
1994,MovedOut,I'm no longer leading Viridor please go on line and contact their HR directorPl
1375,Unsubscribed,Gary had departed this organization. Please remove or unsubscribe this email.
2776,SeekingMoreInfo,My name is Ravi Moodley. I am an experienced eci engineer. My colleague said you have a vacancy for an engineer. Can you send me the details 
3106,SupportAutoResponse,Please type your reply above this line -Emma MargaretThe more we know the more we can improve and the better that will be for all involved.So how did we go this timeHow would you rate the support you receivedYou can copy the following URL into your browser to rate:
2596,OutOfOffice,I will be out of the office 10-18 back on 10-27. Please work with your Mohawk Sales Representative or PM and they will get your needs taken care of. I will be folowing up on all matters upon my return.
3001,MovedOut,Thank you for your email. I have moved out of the contractor management team. For any query please reach out to Vikas Sharma. 
109,MovedOut,This contact is no longer available. Please contact: 
970,Deactivated,Thanks for your email  follow up however Im not exploring to tie up withnew agencies at the moment
1129,Deactivated,Thanks for your mail. We are not fabricators but just steel suppliers. Thanks
756,Retired,Scott George has recently retired from KPMG and can no longer be contacted at this e-mail address. If your message concerns KPMG business please contact Bob Garrett at rgarrett@kpmg.com
319,Unsubscribed,Fuck Kabir stop harassing my people with your bullshit. Is that so difficultI have an interest in you leaving us the fuck alone
60,ConnectLater,Connecting you to the concerned person. Best 
2689,AgreedToMeet,U can call me on Saturday
3007,ReferredSomeone,This mailbox is inactive and not monitored.  Please email Eric Koppin erick @people20.com for assistance or call 248-842-7415
1437,Unsubscribed,stop sending mails
1746,SeekingMoreInfo,Thank you very much for your email. What type of talents are available on contract say experience of 3 yearsWhat is the going rate for compensation
3325,SeekingMoreInfo,Please let us know the status of this requirement
1737,Unsubscribed,No need to schedule a call.  Please take me off your email list. 
1616,SupportAutoResponse,Please type your reply above this line -Thank you for contacting Headway.This is just a quick note letting you know weve received your message and will be in touch soon.Ticket: 40972--------------------------------
2019,Deactivated,we are not in need of your services. 
2908,AgreedToMeet,Happy to learn more as I lead BD. Perhaps an intro call next week
1222,Unsubscribed,You need to stop contacting me. 
728,SeekingMoreInfo, of the day and namaste to you and your team at Atmatan wellnessCentre know that both my husband and I are looking into coming to Mumbaion the 12th November we would surely like to experience our detox plan with you please send me more information on this weight loss is ourmain concern. 
1897,ConnectLater,Mrs. Bergerfind enclosed some HR topics. If convenient to us please contact Adam otherwise we shall give notice correspondingly
1510,ConnectLater,Thanks RajeshjiWe will get back as soon as need arise. Thanks  
221,OutOfOffice,I am out of the office on vacation and will return Monday 10/25.  I will return all messages at that time.
1954,AgreedToMeet,Nice to meet you  and I work in the same team. I look forward to speaking with you tomorrow at 12noon. If possible kindly email your updated resume so I can prepare for you. 
583,Retired,I retired from MORPC on Wednesday November 6 2019.  Please direct all inquiries to Niel Jurist at njurist@morpc.org or by phone 614-233-4126. If this is a personal request please email me at birdcage0830@outlook.com. 
898,MovedOut, I am no longer with Al Rabeeh AcademySchool and unfortunatelyI can no longer answer your email. Please direct all future inquiries to
2290,SupportAutoResponse,"Your Ticket  3829739 has been resolved. Thanks for your patience and time, and we hope our customer support was satisfactory."
1139,MovedOut,Please note that Marc Nephtali is no longer employed at Vertex Pharmaceuticals. If there are any concerns please contact Ravin Warnakulasu at RavinWarnakulasu@vrtx.com. Thank you Data Technology and Engineering Team
57,ReferredSomeone,Im not responsible for HR at Environmental Defence.  I have forwarded youremail to our HR department.
188,SeekingMoreInfo,Hey LeahI am reaching out in reference to your email conversation with mycolleague Alyssa regarding our mobile app development offerings. 
1905,OutOfOffice,I will be out of the office Monday 10/12/2021 with no phone or email access. I will reply when I return. 
2303,MovedOut,I am no longer with DocuSign. Please reach out to Kamlesh Desai or Udesh Naicker for assistance. Thank you Yvonne
782,ReferredSomeone,Appreciate your persistence and sorry for my late response. Im not the right person to talk about this matter with you. You probably can talk to someone in eHealth NSW. 
469,SeekingMoreInfo,Please share the proposal and what kind of IT hiring services you provide
3253,SeekingMoreInfo,Thanks for your support. @ Suchitra Could you please share vacancy list.  
2125,OutOfOffice,Thank you for your email. I am currently out of the office and will respond when I return on Monday December 28th. Merry Christmas
1007,SeekingMoreInfo,As per talk held with you for empanellement with your esteemed organization it will be a great honour for us to associate  empanelled with you.  we are specialized in I. T Software Industries recruiter and also recruiting non IT sector. nbsp I hope you will consider and do the needful for the same. An early and positive reply is solicited
536,ReferredSomeone,"This is an automatic generated mail. Please be informed that the email id vishal@vineetaz.com, vishal@vineetaz.comahas been discontinued. If it is an email related to Vineetaz Exports please direct your mails to info@vineetaz.com, info@vineetaz.com"
1135,AgreedToMeet, Thank you for you quick reply. If we can be within the range I sent you yes we can speak. Im jammed packed with calls today as I was off yesterday.  Today after 5pm works or after 4pm is also good for me.  My number is 353871137831. 
1965,Deactivated,No thanks. All the best. 
1098,Unsubscribed,Please remove my email id from this mailing list
3246,AgreedToMeet,I am reaching out in reference to your email conversation with my colleagueJames regarding our digital marketing offerings. I am a senior marketing consultant at foreignerds.com and I will be happyto assist you further.coming to the proposal since digital marketing is abig umbrella containing a variety of techniques and activities it is hardfor me to recommend anything without knowing your goal and budget. :How about we schedule a short discussion sometime this week and I can walkyou through our offerings as well as tell you how we can leverage inboundmarketing and digital advertising to help you scale :Well you can use my meeting link to book a convenient time and in themeantime here is some quick info about us and our marketing work
2391,SeekingMoreInfo,Please provide brochure. 
1884,ConnectLater,we havent yet come out of bad business situation.  Lets wait and see
2020,Deactivated,rSorry but I have accepted offer with another company. 
3362,AgreedToMeet,Yes we can set up a call and discuss but just to be clear I am lookingfor an opportunity to learn. 
70,OutOfOffice,Thank you for your email I am OOO and will be back to business on 8/25.
735,ConnectLater,Thank you for your recent e-mail. I am not however involved in the recruitment process but have copied our People department so that they can advise further 
2478,Deactivated,We are not struggling so Im not interested.  I do however wish you andyour team much success moving forward. 
3098,ReferredSomeone,Kindly note that my new mail ID is kanhaiya. jha@hsrp.in for all official communications from now onward. My old email id will be discontinues within week. 
2989,AgreedToMeet,this candidate can come by Saturday
2031,MovedOut,Were sorry this mailbox is no longer in use. Please email your request to eting@tempworks.com to ensure a timely response. 
437,SupportAutoResponse,"Its been days since weve heard from you, so I wanted to let you know that we are going to close this ticket 456789.You can always reopen it or raise a new ticket if you need any further assistance. Thanks for working with us!"
2293,OutOfOffice,"Thank you for your mail. 
I am on official travel on 3rd Jan 2021. Will have limited access to E-mails. Please expect a delay in my response. "
2802,OutOfOffice,I'm on leave until Tuesday August 4th.
1500,ReferredSomeone,Thank you for your message.  KCI is now part of 3M.  I will be immediately matriculating to my 3M email address.  Please send messages to bcesparra@mmm.com
209,SeekingMoreInfo,Please find attached our order remmitance RX86476377353 generated on 10212021. PO No   Payment Date    PO Amount RX86476377353  10212021      112312. 49Note : For any further query Please contact Sales Operations Department
1757,SupportAutoResponse,We have marked your ticket as Resolved. Are you satisfied with the support received Digihyre Interview as a Service 5756986292763 If you feel that the ticket should not be closed or if the ticket has not been resolved please reply to this email. Sincerely Teji Mandi Support Team
566,ConnectLater,Thanks for contacting us about your Service. Were not looking for help at the moment but appreciate you reaching out. 
314,AgreedToMeet,I would like to explore this opportunity in detail. 
602,SeekingMoreInfo,Gentle reminder for the terms and commercials to proceed further. 
234,OutOfOffice,"I am out of office and will return on 14 September 2021 (Monday). 
I will respond to your email when I return. "
3125,Deactivated,Thanks. Were not looking for support with this role.
2762,Unsubscribed,Read about this superfood READ MORE ABOUT IT BY CLICKING HERE 3Happy DrinkingTina. If you no longer wish to receive emails please unsubscribe
2954,Unsubscribed,Pls dont mail again and again when we need help we will definitely get in touch with you
