,Category,Response_preprocessed
4586,OutOfOffice,"I'm currently out of the office and will be returing Monday 7th Dec 2021. 
I will respond to your email when I'm back in the office. "
3514,SeekingMoreInfo,What is the fee structurehow much does this cost
650,AgreedToMeet,Apologies for the delay in responding it took me a couple of days to track down someone in my network who knows Recycleye for a spot of off-line research. Im available this afternoon until 1700 or any time over the weekend on the mobile below. Ive attached an employment history but please note that it is due a makeover
1876,Deactivated,I am currently in secure employment and therefore not interested in the current vacancy
3377,SeekingMoreInfo, What are the company called KRJames
4266,OutOfOffice,I am out of the office on business and then PTO through October 8th. I will have general access to email and availability for some calls. If you need to speak to me urgently please call my cell phone at 301-526-8136. 
4655,OutOfOffice,I'm on leave today with no access to emails. I'll resume work on Monday and revert to your mail. 
4246,OutOfOffice,I will be away on vacation from Oct. 1 to Oct. 11 2021 returning on Tuesday Oct. 12 2021. I will be checking my emails on a very limited basi
1160,ConnectLater,Please mark paid this bill in your system
4256,OutOfOffice,"Thanks for your mail. I will be back to office on 26th May. Mail will not be read and replied. 
"
2851,ReferredSomeone,Thank you for your email. I think your email should be for AUDs HR Office - not the Student Recruitment Office
4005,Unsubscribed,please unsubscribe me
551,AgreedToMeet,Okay
3529,SeekingMoreInfo,Rumita Chatterjee would like to recall the message Technical ring Support  Splenta . 
2356,ReferredSomeone,Stephan is no longer with iSTOX. For assistance please contact christianfischer@istox.com
3091,SeekingMoreInfo,"thank you for the information you have send to us. However there is few changed regarding the date of staying it will be on 17th November xe2x80 30th November. As for now I give you Dato Muthukumar detail first.  Dato Muthukumar :  1     Age  Nationality of guests49 years old Malaysian. 2     Health Objective of each guestRejunavation and similar to therapeutic fasting 3     Underlying health conditions of each guestWeight 90kg Very healthy 4     Any surgeries in the past 1 year No Please send us the package room and price quotation for Dato Muthukumar. I will update to you for other guest details as soon I get the information and details. Ms. Mary can contact me at 6012-328 0211 and Chairmanoffice@mktron.com ,Chairmanoffice@mktron.com  for further update. "
4743,OutOfOffice,Thank you for your email. I am out of the business all day today and will only be checking emails periodically. If you have an urgent matter please call me on my mobile number 07778 268108 Thank you Kind  Carmena
976,ConnectLater,We are already talking with Abdul
130,AgreedToMeet,No one called me 
2267,ReferredSomeone,I am no longer with re Dynamics. For assistance contact marketing@redynamics.com. thinkDeb Hammacher
3674,Unsubscribed,"I am not interested. Do not contact me again. secDe@guidehouse.com,secDe@guidehouse.comguidehouse.com"
1090,ConnectLater,Satish SEO digitalmarketing@strategicerp.comKindly look into the same
1246,ConnectLater,Thanks for your email. 
2728,ReferredSomeone,Please update your address book and reach out to the following awesome Elementals instead steve. mundro@elemenohealth.com
2546,ReferredSomeone,"Dan Natale is no longer with Orion Advisor Solutions. For advertising inquiries please contact Jaimie Vennell jaimie. vennell@orion.com,jaimie. vennell@orion.com. For all others please contact Christine Moscariello christine. moscariello@orion.com,christine. moscariello@orion.com"
633,AgreedToMeet,Please reconnect. 
1755,Deactivated,Yes I did see your mail and apologise for not providing feedback. I have taken a look at the role and it is not something I want to pursue. Appreciate making contact and good luck in finding a suitable candidatE
1098,ConnectLater, We are not currently recruiting 
1532,Deactivated,Thank you but we dont require assistance with this role 
1933,Deactivated,We have  already engaged an law agency. Thanks
3484,SeekingMoreInfo,Kindly share the approximate quote for the 14 days. Also if there is a 3days program that i can start with. 
306,AgreedToMeet, Lets connect tomorrow after 3 pm. 
4603,OutOfOffice,Out Of Office   Vacation Alert Thank You for your email .  I am currently  out of the office returning on Tuesday Oct 5th   . If this is  urgent please call me at 647-468-4092 if not I will reply to your email when i am back. 
1989,Deactivated,Please connect with my colleague Ms. Shreya Chabbra shreya. chhabra@flybase.com as currently she is handling all recruitment
510,AgreedToMeet,It would be ok but I prefer google meet. 
1335,ConnectLater,Thank you for your follow up. Yes my customers are aware of always monitoring the results of the Lube oilanalysis and so far the TAN values are within the OEM recommendationslimits. 
364,AgreedToMeet,We are not looking for recruitment solutions as we are managing itinternally. However we can certainly connect to discuss other speciality areas. I amavailable next week WednesdayFriday at 12 PM for a Google Meet call. 
2140,ReferredSomeone,Thank you for the emails. Currently we are not looking for these services. Let me reach back to you if and when required. Best 
3397,SeekingMoreInfo, We are solution vendors for backup  recovery. If you are selling migration services the next phase is to offer backup sothe data can be recovered. If youd like to partner up earn further revenue like our other migrationpartners . . . let me know. Thanks  
1568,Deactivated,I am not interested in the role thank you for your email
795,ConnectLater,We are in the same business and we provide highly niche skill software developers. Please check www. coedify.com 
608,AgreedToMeet,This is my number. 9354666795
803,ConnectLater, Apologies for not getting back to you earlier. We currently are not looking for any Salesforce personnel at this moment however I will keep your email on file and reach out for any future recruitment needs 
4739,OutOfOffice,"Many thanks for your email. I am currently out of the office on annual leave returning on 13-10-2021. Please contact my colleagues below depending on the nature of your query:Finance related timesheets invoicing etc. please contact Dharmesh Patel Dharmesh. patel@Lsprenewables.com,Dharmesh. patel@lightsourcepeople.com or Keith Carline keith. carline@Lsprenewables.com,keith. carline@lightsourcepeople.com"
2439,ReferredSomeone, JohnThank you for your email I would like to inform you that I left ksa and I would like to work in jordan in Middle east as a privet business to provid and hiring Nepal in  homes and houses a house maid as a start beginning can you tel me how can work together in jodan
2871,ReferredSomeone,My last day with Carew International was Friday 8272021. If you need immediate assistance please contact Scott Stiver CSO at sstiver@carew.com or Melissa Williamson Sales Catalyst at mwilliamson@carew.com
3305,SeekingMoreInfo,please send the details to my email
152,AgreedToMeet,Yes I would be interested to receive a call. . . 
668,ConnectLater,Thanks for the email. I am already in discussion with kiran
1488,Deactivated,Thank you for writing to us. We shall come back to you if there is any requirement. 
3080,SeekingMoreInfo,Please let us know the status of this requirement
83,AgreedToMeet,I am looking for      Senior application developer and tester     Senior magento developerBoth should have experience working with startupsYou can call me to discuss - 9167055270
65,AgreedToMeet,Tuesday afternoon before 15:00 or Thursday anytime. Please let me know. 
2915,SeekingMoreInfo,We are an exporter so we dont need your service. 
3928,Unsubscribed,This is my third and final request - Please remove Preacta from your mailing list immediately and cease chasing Luke your emails are poorly targeted spam and are not gratefully received. STOP. Get Outlook for iOS
4348,OutOfOffice,I am currently out of the office and will be back on April 14th 2021.incoming e-mails will not be forwarded automatically. 
1100,ConnectLater,Thanks for your email but I have already spoken with Clinton in your office an dI Will be in touch once we have a requirementKind 
2289,ReferredSomeone,This mail ID is not functional. Kindly send mail to gm. customerxp@bankofbaroda.com.                               .                                 .                    .       .  
3028,SeekingMoreInfo,As discussed yesterday Please share your company profile to review. 
1179,ConnectLater, thanks for connecting us we will respond you shortly 
2580,ReferredSomeone, Zahra has left the company and I would your point of contact. Let me knowwhen can we talk to discuss the same. 
3051,SeekingMoreInfo,Thank you for reaching out. We are looking for a strong business services accountant with 1 to 2 years experience - can you assist
541,AgreedToMeet,Yes . . . thank you for the email At present can do anything Will read your email n update onces Im free
500,AgreedToMeet,We would like to thank you for your email and interest to have a successful cooperation with Pinnacle It would be  a great opportunity to discuss 7 targets  Partnership ProgramKindly approve your acceptance for web Conference call on  next Monday  30 August 11:00 AM Slot is reserved
4645,OutOfOffice,Thank you for your email.  I am currently on annual leave from Thursday 231021 to Wednesday 61021. I will be reading my emails and if your enquiry is urgent I will endeavour to respond.  Alternatively I will be in contact when I return to the office on Thursday 71021 for your email and I look forward to speaking with you. 
3364,SeekingMoreInfo,Thanks for your email. I am currently recovering from sickness and am back to work partially this week. I may not be accessing emails or teams all the time and hence please expect a delay in a response to your email. Please text me on teams or mobile for any urgent queries or support. 
1278,ConnectLater,We have already purchased from forbes  if any requirement in future we will contact you
3319,SeekingMoreInfo,Im looking for are long term contractors to integrate into our engineeringteam from the LATAM market. Could you please provide more information onyour process and ratesIn terms of the candidates I am looking for more than just a seniorengineer. I am looking for someone who has deep technical experience inReact and Node. js and even more important is someone who is capable oftaking initiative and leading projects. I have hired candidates for theseroles in the past that are senior engineers but have not been a good fitfor the role because they are not ones who add the value I am looking forand are able to lead initiatives without needing direction from myself orthe team. Some might call these rockstar engineers. 
2877,ReferredSomeone, this my AVP - Arun Batish who will understand your proposition
2236,ReferredSomeone, KellyId like to introduce you to our CEO Juan Betancourt. Ive copied him on this email so please connect with him to discuss next steps. 
2955,SeekingMoreInfo,We are a manufacturing company with 120 employees at our factory in KarurTamilnadu.  Ref your AI based Virtual Covid Marshall would like to knowmore about the solution and its benefits. Pls provide more details in this regard
1535,Deactivated,At the moment we are not interested. 
4275,OutOfOffice,"Thank you for your email. I am out of office on annual leave from 16th August to 26th August 2021. 
I will reply to you once I join back my office. "
4158,OutOfOffice,Im on vacation and will return on 10/25/2021. For any urgent matters please contact Viresh Sindhwad Viresh. Sindhwad@ap. linedata.com or Diwakar Singh Diwakar. Singh@ap. linedata.com. 
2419,ReferredSomeone, You can please connect with Amol he takes care for commercial procurmet
3754,Unsubscribed,STOP.  Unsubscribe
3043,SeekingMoreInfo, . Apologies for the delayed reply I have been away on holiday. I may be interested in this job. Please find attached current CV. 
579,AgreedToMeet,I'm still actively working but on Vancouver time til October 3rd. Please feel free to WhatsApp me: 07702075340. 
2187,ReferredSomeone,". We regret to inform you that this recipient is no longer employed with Mutual of Enumclaw and this email account is now closed.  We apologize for any inconvenience this may have caused. For assistance please contact our Member Services department at employeecontact@mutualofenumclaw.com,employeecontact@mutualofenumclaw.com. "
1254,ConnectLater,We already have a software that we are working with. Will revert in case there is a plan to change the same in the near future. 
3141,SeekingMoreInfo,Could you please share the latest franchise business model fees revenuesharing client handling terms and conditions etcPreferably a brochure of all details and some free text in mail about anyadditional info you can share regarding this opportunity. Based on info shared will discuss with couple of friends and get back toyou. 
1337,ConnectLater,Im sorry for the late response. I have brought this to the attention of myteam to see what happened. Ill get back to you as soon as possible. Ireally appreciate the follow upThank youJuli
422,AgreedToMeet,do not mind to disturb you however I would like to follow up on theaction of this callDo you have any updates for us Should we get on to a call today afternoonat 3pmThanks and 
3110,SeekingMoreInfo,Thank you for your email. 1 COMPANY PROFILE
