,Category,Response_preprocessed
594,OutOfOffice,"I will be out of the office on Friday (10/16) with limited access to my email. I will be back in the office on Monday (10/19).
If urgent, please reach out to my colleague Matt Trembicki at matt.trembicki@rightclickrecruiting.com
Best,
Rob"
2393,OutOfOffice,"I'm out of the office, with no access to my email, returning on 6 August. I will respond to your email on my return
Thank you"
855,AgreedToMeet,"Sure !
Thanks & Regards,
Priyanka Dhanawade"
344,OutOfOffice,"Hi , Thanks for writing in.Iam on leave today, stay safe
Regards
Natasha"
2521,OutOfOffice,"I am currently out of office with very limited access to emails.
I will reply to all emails upon my return on January 4th.
Regards,"
1462,SeekingMoreInfo,Please let me know when we can connect and take care of your health.
2733,OutOfOffice,"I will be out of the office on Friday, 9/11/20 with no access to email.
I will be returning to the office on Monday, 9/14/20, and will reply to all messages as promptly as possible."
1865,Unsubscribed,"No
Best Regards"
2043,OutOfOffice,"Thanks for your email! I am out of the office until 8th January 2021. I will respond to your email when I return.
If your request is urgent, please contact on my cell phone.
Stay Safe!!!"
738,Unsubscribed,Thanks for reaching out. Pls remove me from your list.
2861,OutOfOffice,I am on leave and will be back on 23 Sept 20. During this period I will have limied access to email.
2321,AgreedToMeet,Yes.please feel free to call me anytime
2230,OutOfOffice,"I will be away from the office on Friday, September 18th. If your email is urgent, contact me directly on my cell 250.517.0552.
Mark Bunz, CEO Dinoflex Group LP"
2704,OutOfOffice,"Apologies, I am on annual leave and will return on Tuesday 6th October 2020 if you have an urgent query or wish to place a booking or vacancy please contact Wayne Cunningham - wayne@a1personnel.co.uk Many Thanks Sarah"
308,ConnectLater,"Sorry for late reply. As of now we do not have any requirement pertaining to your scope, but whenever there is any requirement we will consider M/s Minimac.
With Regards"
3054,OutOfOffice,:I am currently offline with limited access to email until Thursday 8 July.
986,Deactivated,Good concept and you are addressing right problem. At Arrow we have all global systems and now I am leaving Arrow and starting my own consultancy service so will not need this.
1041,OutOfOffice,"Hello, I will be out of the office until 7/3 with very limited access to voicemail and email. Please reach out to Adam Fuoss at afuoss@silver-peak.com during this time. Regards, Pat Gilbreath"
1231,Deactivated,"I don't know how and from where you have found my email address. Just
please be informed that due to US sanctions we are out of business and your
services/produsts is no longer needed.
Hope this helps you to understand our situation and stop sending such
emails."
629,OutOfOffice,"Thank you for your message, I will be unavailable 11/2 - 11/11. I will
be onsite with clients the balance of the week but I will be checking
email and phone intermittently.
If you require immediate response please feel free to contact our VP
of Customer Success Jessica Archer or Eric Fry to expedite any request
you may have."
2552,OutOfOffice,"Hello! I am out of the office, returning Wednesday, January 15. If your matter is time sensitive, please contact Kristen Seich at kseich@deloitte.com.
Thank you!"
1125,ConnectLater,Thank you for the offer. I would try sampling the report.
769,Deactivated,"I am not the correct person for this ‚Äì you need to connect with Star India HR for this ‚Äì you could connect to the reception and check out on this please.
Thanks"
215,OutOfOffice,"I am currently out of the office and in San Francisco for Dreamforce with limited access to email. I will return on Monday, November 25.
If your matter is urgent and you need immediate assistance, please call me at 253-686-9318 and I will follow-up as soon as possible.
Cheers,
Briana"
2902,OutOfOffice,"Thanks for your mail.
I am on leave with limited access to e-mails."
1309,OutOfOffice,"I am currently out of office. I will be back on October 6, 2020."
1729,OutOfOffice,ÔªøI will be out of the office Monday-Friday (12/23-27). I will be checking email periodically. Please leave a message and I will get back to you as soon as I can.
2654,ConnectLater,"Sorry for inconvenience, because of covid-19 Plant is in shutdown and now I
am in leave. And HOD maintenance is also in busy so we discuss about it
later."
1580,Deactivated,Not something I would Look after sorry
1804,OutOfOffice,I am currently on leave and will get back to you soonest possible.
291,SeekingMoreInfo,"Thanks for your call today. Since I wasn't expecting anyone to call, it
took me a few seconds to register.
Aakshey, I've gone through the content samples on your website and they
look fine to me. How do you manage other work like writing for
Reviews/Comments, Quora replies etc. How do you cost those?
I have requirements for SEO articles for up to 500 words as well as up to
1500 to 3000 words as well. If we start with a pilot of 10 or 15 articles,
what would be the turnaround here?
Let me know and we can speak tomorrow and take this forward."
1572,ConnectLater,Now plant is under lock down let us wait for opening
