,Category,Response_preprocessed
1071,OutOfOffice,Thank you for your message. I am out of the office until July 13 with no access to email or voice mail.
261,OutOfOffice,"I am on PTO Friday to ensure Santa will be visiting my house.
Thanks for your patience, and I will respond as soon as posisble on Monday.
Happy holidays!
Christina"
3104,OutOfOffice,I am on vacation and will be back in the office August 9th.If urgent please call 46 705 305154
2448,ReferredSomeone,"Thank you for your email.
I am no longer with OFX, though in my absence please contact Lucy Allen on (02) 8058 5220 or lucy.allen@ofx.com
Best wishes,
Rebecca Shears"
195,OutOfOffice,"Since i am on leave, for any requirements, kindly contact Mr. Murugan - Sr. Manager - Finance.
Email: Murugan.K@otis.com
Mobile: 99406 54886
Regards,
RK. Supriya."
2009,ConnectLater,"Greetings!!
Thanks for sharing details, incase of any requirement, our HR team members will get in touch with you."
2817,OutOfOffice,"I am currently out of the office and will return Monday, 10/5/20."
1965,OutOfOffice,"Hi, Am on leave today with limited accces to mails. Please call for urgent matters. Thanks,"
179,Unsubscribed,"No Thankyou
Unsubscribe"
834,OutOfOffice,"Hello and thank you for your email! I will be on PTO through Tuesday, December 17 and will be delayed in responding to your email. If you need immediate assistance, please contact Casey Orr (caorr@deloitte.com) and Pam Brody (pbrody@deloitte.com).
Thank you!
Claire"
842,OutOfOffice,"I am out of office until 26th December 2019. For anything urgent please contact arunav.chatterjee@axaxl.com
Regards,
Superna"
2459,OutOfOffice,Thank you for email. I am out of office.
1608,OutOfOffice,"Am in the US and on the East Coast. Hence, please allow for any delay in responses. If urgent, please reach out to bhavana.iyengar@egonzehnder.com"
2509,ConnectLater,"Though I appreciate your follow-up, however we would need some time to come back to you."
340,OutOfOffice,"I am out of the office, 11/25-11/29 Please contact us one team for Deloitte Facilities for assistance"
2345,OutOfOffice,"I can still be reached due to vacation (from 31.10.2020 until 12.11.2020), but will not always respond immediately. Thanks for understanding.
For urgent matters please contact me by phone on +32 (0)475/28.82.56"
2312,ConnectLater,"Thank you very much for your email
For the moment we won't be interested in such a service.
I will contact you in case the situation changes."
748,Deactivated,I have nothing to rent out at this time
1211,OutOfOffice,"Thank you for your email. I am currently out of the office on vacation from Wednesday, December 23rd through Friday, January 4th. I will respond to your email as soon as I return.
Regards,"
662,OutOfOffice,"OUT OF OFFICE
Hi,
I am currently on Annual Leave from Close of Business Thursday 26th November, returning Wednesday 2nd December.
I will not have access to email or messages during this time and will respond to your message on my return.
For any urgent matters please call Michelle Wu on 0447 388 692 or michelle.wu@theiqgroupglobal.com
Kind Regards,
Clair OGorman"
480,OutOfOffice,"Thank you for your mail.
I am in an event till late evening and do not have any accesst to my mails.
I shall revert to your emails once i resume to work .
Please feel free to call me/message on 9243433225 in case of anything urgent where you need my immediate attention
Regards,
Zarna"
803,OutOfOffice,"**OUT OF OFFICE NOTICE**
Im currently out of the office on PTO. Ill be returning on Monday 1/04/2021.
If this is an urgent matter please contact your project manager.
Thank you"
2272,OutOfOffice,I am on leave on 4th and 5th June
2669,OutOfOffice,I will be away from the office until Tuesday 22 September 2020 and will only occasionally check my emails.
1913,OutOfOffice,Thank you for your email. I'm currently out of the office until May 4th. Please expect a delay in response.
2581,ReferredSomeone,"You may speak to my colleague, Kathny."
549,AgreedToMeet,"I hope you had a good Christmas.
Yes, I have seen the note but I didn't think anybody would be working over the holiday.
I'm interested, I'm available but I have moved further south, I'm living in Redhill, RH1 6TL. That is far away from Newmarket, I'm happy to talk if your client is still interested.
Regards"
1283,OutOfOffice,I am out of the office celebrating the holliday season with family and friends. Please expect a delay in my response. I will return to the office on 2 January.
