,Category,Response_preprocessed
837,ConnectLater, Thanks for connecting us  we will get in touch with you shortly 
2790,ReferredSomeone,This person is no longer with Axon. Please update your contact info accordingly
3286,SeekingMoreInfo,Where is it located
2922,ReferredSomeone,Thank you for your e-mail. This person no longer works at John Laing
942,ConnectLater, Thank you for showing interest in working with us. As of now we are not intending to associate with an external agency for our Staffing  Compensation functions. We wish the  in your business and hope that we will work together in the future. 
1503,Deactivated,I am actually not in charge of hiring teacher. I am just a teacher
436,AgreedToMeet,Lets connect for demo on Tuesday second half. 
3111,ReferredSomeone,Sehr geehrter Mailsenderdanke fxfcr Ihre E-Mail ich habe derzeit keinen Zugriff auf meine eMails.in dringenden Fxe4llen kontaktieren Sie bitte Frau Grenz unter 02225 988 2300Vielen DankMarkus Hauff
1487,Deactivated,Ive seen quite a few mails from atmantan Right now Im not interested but I was happy to see a wellness Center on these line
2320,OutOfOffice,I will be out of the office for the week. During that time I'll have limited access to email and voicemail. 
1179,Deactivated,No Thank you. 
1064,ConnectLater,Thank you for your email but we do not need these services at the moment. If we do going forward we will be in touch. 
2684,ReferredSomeone, Thank you for your email. My last day with Cadwell will be Friday July 9 2021. I will be monitoring and responding to emails through then. After that please contact the appropriate department. ulliPurchasing: purchasing@cadwell.com 
3587,SeekingMoreInfo,What kind of skill set and experience you have and are they for hiring or only contract staffing
1623,Deactivated,Not interested thank
319,AgreedToMeet,I have set this up for next Wednesday. 
2394,OutOfOffice,Thanks for your email I am currently on annual leave until the 11th October. During my absence please can you contact Gemma Hammacott for anything urgent. Gemma can be reached at gemma@cadwaladers.com
1126,Deactivated,Thanks but it isnt something I am interested in
216,AgreedToMeet,I am Available for your call any time tommorow. 
1956,OutOfOffice,"I am on leave today. 
Please except a delay in response. "
1261,Deactivated,Thank you for your emails. Currently we already have other systems in place so at the moment we are not interested in looking for another product. 
2642,ReferredSomeone,This contact is no longer available. Please contact: 
1760,OutOfOffice,Thank you for your mail. I am on planned leave from 11th Oct to 14th Oct. I will also be OOO on 15th Oct for Dussehra. Please expect a delay in response. Contact Ruchita Khandelwal in case it is an emergency. 
1376,Deactivated,IllSkip
3785,Unsubscribed,UNSUBSCRIBE 
3481,SeekingMoreInfo, Thank you for your email. Do you have your own profile anywhere as I could not see anythingIf you have any suitable candidates for accounting roles our process is for the resume to be emailed to me and we can go from there. If you can ensure the following is included:     Suburb candidate resides     Reason for change     Status un Australia if applicable     Software usedFor any accounting roles we are after suitable candidates that have worked in the profession for at least 2 years plus. 
207,AgreedToMeet, I am not sure I am aware of the shared number. Lets connect via Teams now. 
3495,SeekingMoreInfo,Thanks for your mail. Could you provide a detailed brochure of the services being provided by your organization. 
2333,OutOfOffice,"Thank you for your email. 
I am out of office from 22nd Aug - 6th Sep with limited access to emails. "
3755,Unsubscribed,  We do not need the services please do not send us mails. 
3627,SeekingMoreInfo,I didnt receive any mail from you. 
179,AgreedToMeet,I will call you . 
2554,ReferredSomeone,Yes we are happy to be associated with Talent Corner. Bhumi is no longer in services and myself is taking care till further notice
3756,Unsubscribed,Im not interested at this time but thank you for thinking of me. Would you please be kind enough to unsubscribe meThank you. 
3634,SeekingMoreInfo, Received with thanks your contact. Kindly request you to consult Petrotec  website and Social Media where you can see that Ocean Team Qatar is the Purity Solutions department and the leader of Oil Care Services in Qatar. Feel free to consult us to clarify any question. 
1136,Deactivated,Not useful for us at the moment  thank you anyway. EmilieEmilie Thysse07903 868561emilie@ydtraining.com
211,AgreedToMeet,I have a fairly full schedule now so can we say 10:00 please
2799,ReferredSomeone,I think this email is for Shilpi
3112,ReferredSomeone,Thank you for your message I am no longer working at CRISP. Please contact Lisa Nugent Director of HR at lisa. nugent@crisphealth.org
1362,Deactivated, Were not looking to hire anyone in this space. If we have any relevant marketing vacancies well consider your help. Please pause your communications until then
