,Category,Response_preprocessed
1816,MovedOut,Thank you for your email Im no longer with Creador Advisors. Kindly contact Ms Priya Raman at priya@creador.com priya@creador.com
3930,Unsubscribed,Not interested. Take me off your list. 
3898,Unsubscribed, my name is not Jeremy
1606,Deactivated,We are not interested at this time. 
2311,OutOfOffice,"I am away from work with no access to emails/mobile and responses will be delayed. 
please write to vinod. bhongale@acendre.com for anything that may need my/our immediate attention. "
1684,MovedOut,Jennifer Roebuck no longer works for Feelunique. Please forward all emails to our new CMO Mr Chris Lock chris. lock@feelunique.com. 
3129,Retired,Unfortunately there are a couple of issues with that position which are firstly the location as I live in Harrogate North Yorkshire  secondly since September 2018 I have been retired. Best 
1716,MovedOut,Dan is no longer at MaestroConference. For all sales related questions feel free to contact sales@maestroconference.com
181,AgreedToMeet,Sure lets connect today after lunch time or tomorrow again in the second half
1311,Deactivated,Thank you for the offer we are not interested
3744,SeekingMoreInfo, Hope you are doing good and thanks I have recovered and back to work.  Please find the Immediate openings with us and kindly share some profileswith us . 
1644,Deactivated,We are not struggling so Im not interested.  I do however wish you andyour team much success moving forward. 
2274,OutOfOffice,I am currently travelling with no access to my devices. I will surely reach out to you once Im back online
49,AgreedToMeet, Apologies for delayed response. Lets connect tomorrow around 2 pm if it suits you. My mobile number ismentioned in the signature. 
1391,Deactivated,We are all good thanks  no need to keep chasing. 
1471,Deactivated,I am finding this is not a professional approach to connect with any potential business opportunity. I have seen your mails on daily basis in my inbox which irritates a receiver who is not interested as of now. Trust this is clarified. With 
224,AgreedToMeet,As discussed  kindly arrange meeting today and share the link . 
3842,Unsubscribed,Please remove me from your mailing list please excuse any typos
1525,Deactivated,Thank you but I am not interested. 
1834,MovedOut,Thank you for your email. Mitch Eisen is no longer with gher Logic. Please contact James Willey at JWilley@gherLogic.com if you have any questions. 
2623,OutOfOffice,"Thank you for your mail. I am currently out of the office. 
I will be available again at 11. 01. 2021"
3441,SeekingMoreInfo,How did you source our emailWe are looking for some external CFO services but this is for complex work- primarily fund raising and valuation work for technology services andproducts. Also for tax planning across countries. If your firm has strong expertise in this then we can have a video call.in this case I would like to have an initial call with someone who is veryfamiliar with this space. To give you an introduction to us - Pegasus InfoCorp is an I. T. servicesfirm with 400 employees. We also have some products in the B2B SaaS space. We are looking to raise money in India or internationally in a fewcountries and need strong CFO services from someone whos already donethis for other firms. We need someone who is well aware of how such dealsare structured and can assist with the same. 
2942,ReferredSomeone, As of Sept. 14 our company name has changed to Firstup and our email addresses have changed as well. My new email address is now tim. christensen@firstup.io
1958,MovedOut,This mailbox is no longer monitored.  For further inquiries please email one of the contacts below:Sales Inquiries sales@blockmidland.comAccounts Receivables remit@blockmidland.comAccounts Payables invoices@blockmidland.com
3361,SeekingMoreInfo,Want to check when can we get startedYou should start getting good traction quite fast in these days given the demand. 
2882,OutOfOffice,"please be informed that I am out of office and not reachable by phone. I shall respond to your e-mails and other inquiries as soon as I'm back to the office 28th of December. 
"
1700,MovedOut,Effective September 10 Cindy McPherson is no longer employed withWestEd. For immediate assistance please contact Josh Klein or MichelleKirk. 
2562,OutOfOffice," I am out of the office until 12/14 . I will return all emails ASAP. 
"
351,AgreedToMeet,Thank you for the info.  It appears setting a meeting in the afternoon TYO time  will work considering the time difference. For the next week we are available during the following time:Oct 6 Wed: pm TYO timeOct 7 Thur: after 15:30 pm TYO timeIf the above does not work for you please advise. 
301,AgreedToMeet,Organizations across the world witness poor performance or conflicts between managers due to inadequate communication skills. To increase the self confidence of your management team and to help them exert authority as people managers we would like to introduce below upcoming workshop. Brand yourself with impactful communicationFirst-Time Managers Development Program. em Some core areas we will cover and offer solutions to include-p Develop communication presentation skills and self confidencep Develop managerial skillsp Align strength of team members with prioritize resourcesJoin us on 17th and 24th August onwards for a 4-day workshop 3 hrsday where well discuss different methods of improving your managers capabilities and performance. Should you have any queries I would be happy to discuss more about this workshop with you. 
2469,OutOfOffice,"Thank you for your email. I am taking some personal time and will not be regularly checking email to try and properly rest. If you need anything immediately please feel free to ring SMS or WhatsApp me at +1 (202) 802-0654. 
I will return to the office on Monday November 11. "
3622,SeekingMoreInfo, Please share commercials for permanent hiring. 
861,ConnectLater,If any requirement regarding oil flushing and oil purification I will inform you. at present we have no requirement if any I will revert you madam
2203,OutOfOffice,"Thank you for your email. I will be out of the office for vacation until January 5 2021 with limited access to email. Responses to email may be slow. 
Best"
1191,Deactivated,Thanks for your mail. But I dont need it currently
3829,Unsubscribed,Please refrain from sending me further emails from your company. I also receive regular emails from Sandheep Bhatt even after I had agreed to pull my team together for an updated demo which he failed to confirm.  Then he or your auto email system kept on sending regular intro emails to me.  So frankly your BD efforts need significant review
1721,MovedOut,Please be advised that the person you are trying to reach is no longer working for IDA Foundation. If you would like to speak to one of our colleagues please contact IDA Foundation at 91 22 6740 6991 or gnaiker@idafoundation.org. We apologize for the inconvenience
1657,Deactivated, Thanks for getting in touch but this isnt a model Id consider moving to at the moment. ThanksHenry  
3391,SeekingMoreInfo,Thank you for reaching out. We are looking for a strong business services accountant with 1 to 2 years experience - can you assist
2638,OutOfOffice,I am out of office today. Please expect a delay in my replies. 
3859,Unsubscribed,Please be aware that if you reply directly to this particular message your reply may not be secure. Do not use email to send us communications that contain unencrypted 
2310,OutOfOffice,"I will be out of the office on Wednesday 1/13 and returning Tuesday 1/19 with limited access to email. If you need immediate assistance please contact Roman Lacanilao at 904-390-1311. Thank you. 
"
480,AgreedToMeet,Yes I would like to discuss it. You can call me today on my mobno. 9999019749. 
516,ConnectLater, I have forwarded your mail to all concerned
3881,Unsubscribed,Im not interested at the moment so please opt me out
510,ConnectLater,keep me updated with any offers that might come up. I was under theimpression that this program is available at about INR 17-18k per night fora couple and therefore reached out. If there is any offer by which it isavailable around that tariif do let me know. 
3596,SeekingMoreInfo,Please share the rate card for below mentioned services
3041,ReferredSomeone,Im working with Jonny at WteSpider as Marketing Manager and he has forwarded your emails to me to discuss further. Happy to have an initial call.
1151,Deactivated, I believe you may have the wrong details as we do not have a Shakila that works here. However this is not something we would be interested in but thank you for getting in contact with us
1645,Deactivated,I dont need this things. 
933,ConnectLater,You have been emailing a number of our Partners and they have all been forwarded to me.in future please reach out to me in the first instance. 
548,ConnectLater,Okay Thank you for your quick response
3711,SeekingMoreInfo,Please share the updated roi sheets
92,AgreedToMeet,Thank you for your email. Lets discuss at 5pm tomorrow  27. 7. 21. 
2895,OutOfOffice,I am on leave till 8th November 2021. Please mail to Manasi. Dharme@Excellarate.com for any support required in my absence. 
1263,Deactivated,Thanks for your email. Our US branch office is only a sales office. I dont think your service will be needed
1638,Deactivated,Were not interested at this time. 
2861,OutOfOffice,I am currently out of the office. Please contact Sharon Karsten if you need assistance. 
381,AgreedToMeet,I am reaching out in reference to your email conversation with my colleagueAoorthu regarding our Email Marketing offerings. Well I am one of the senior marketing consultants here at foreignerds.comand my core expertise is adding value to brands by helping them leverageinbound marketing and digital advertising. Lets connect sometime this week and talk about how our offerings can helpyou take your brand to the next levelUse my meeting link
1537,Deactivated,Apologies for the lack of response. Unfortunately I am not currently seeking new employment. I am in the process of changing roles within EDF and would like to see how the new role is before I consider any alternatives. Also for your information I am based in Bristol and am not currently open to leaving the city 
387,AgreedToMeet,Thanks for your kind message. Will arrange a team meeting next week. 
3144,Retired,Erbom has terminated his employment 16 2018 and retired. For questions or requests contact Advanias exchange at 08-54670000
3708,SeekingMoreInfo,Would it be possible to do a trial of this And what are these additional cost
1935,MovedOut,Gabri no longer works for Measurabl but I will forward your information toour HR department.
922,ConnectLater,Its going really well actually. Were all set. 
1344,Deactivated,we dont need anything in this moment. 
1024,ConnectLater,It is done from my end Yesterday only. 
1751,MovedOut,Thanks for reaching out. I am no longer working with Kavin Group. For immediate assistance please contact Manal atmanal. yassine@kavingroup. ca or call 905-333-0212. 
3769,SeekingMoreInfo, If you could send me your company profile will help. 
4031,Unsubscribed,Please remove me from your mailing list. I am not in the purchase chain for new tech products. 
1772,MovedOut,Kundan Kumar is no longer with Clarivatelytics.
3354,SeekingMoreInfo,We are looking for react. JS developers
3279,SeekingMoreInfo,Yes I did see but your email is very vague who is the candidate so I can give you feedback. Plus we work on 12 success fee
2149,OutOfOffice,I am out out of office and on vacation returning on October 7th. 
1162,Deactivated,Sorry Im not interested. 
129,AgreedToMeet, Can we speak today at 4PM
3714,SeekingMoreInfo,If this opportunity is without investment  deposit So I will accept. 
2272,OutOfOffice,I will be out Monday (8/31/2021) and will respond to your message upon my return on Tuesday 9/1/2021. Thank you. 
180,AgreedToMeet,Thanks for reaching out and considering myself for the role. Although I am very happy in my present role and am not actively seeking to move positions I would consider moving for the right employerpackage providing the industry and project scope was of insterest. Id be happy to discuss the role with you in greater detail. Please feel free to call me at your leisure. 
1566,Deactivated,We have switched over to shopify  and are not interested in your services at this time
97,AgreedToMeet,Tried calling. Pls call back. 
2582,OutOfOffice,Thank you for your email. I am out of office. Please expect delay in my response.  
157,AgreedToMeet,Looks like a plan. 
607,ConnectLater,Yes I did see it.  Will send you a cv later today I am just a little busy today
2669,OutOfOffice,I am out of the office on PTO until Monday October 4. I will have limited access to email so if you need immediate attention please contact my assistant Michelle Rudolph. 
2739,OutOfOffice,I will be out of the office Friday October 9 through Tuesday October 13. 
1077,ConnectLater,This is a computer generated email. your email had been successfully received and will be subject for review and evaluation
2024,MovedOut,I am no longer at Apax please contactison Thackerison. Thacker@apax.com with any Apax related questions. For any personal matters I can be reached at Nicole. Hantman@gmail.comPlease see Global Email 
4138,Unsubscribed,I am not interested at the momentSo please dont send me an email regarding this opportunity. Thank for understanding
2297,OutOfOffice," Thank you for your email. 
I am currently out of the office I will return back on Tuesday November 10th 2021. "
3464,SeekingMoreInfo,As discussed now  this is about  request for  Consulting services on Man Power based on Contract to hire basis. What we are expecting:  1.  IT ConsultantsDevelopers from DWBI background who can work with us on Contract basis for duration 6 Months to 1 Year based on requirement immediately.        Data Engineer  2 to 6 years of experience skilled in Spark Scala        Data Engineer who is expert in Splunk        ETL Engineer who is expert in Informatica- Looking for 6 months duration  1.  If Resources are not readily available on immediate basis then check if you can assist on recruitment  for 15 Open positions  related  to  Data Engineering AIBI  ML positions. I will be sending detailed JD for all these above positions and looking forward for your synopsis proposal and terms. Please reach out to me at 8082530024 for any query. 
3820,Unsubscribed,Please stop messaging me. We left blackbaud a while ago and I do not even have the ability to make these decisions
2903,OutOfOffice,"Due to some personal exigency I am on leave with limited access to mails or calls. 
Kindly expect a delay in response. "
762,ConnectLater, Thank you for the interest in me for your position however currently I am working for one of the leading UK construction companies with a global standing as a lead construction manager. I amaccountable for delivering construction works in the region ofapproximately 120m raising to to 255m in year 2 starting March 21 on a rolling 5 year contract with a salary of 2k and company car with private health care. this in mind and whilst I am very grateful for your interest in me and my skills I am currently not looking to move at this time. 
2395,OutOfOffice,I am on vacation and will be back on Monday August 24. 
2610,OutOfOffice, I am out of the office for the holidays so email replies will be delayed. My laptop and I are spending some time apart during this lovely season so if you need something urgently you can text me at 917 797 5904. Otherwise I look forward to connecting with you in the new year. Happy holidays
2570,OutOfOffice,"Thank you for your email  but I am out of the office on PTO.  If your questionneed can wait I will be back in the office on Thursday morning October 7th.  If you need helpattention sooner than that please reach out to one of the people below.infrastructure including Help DeskAsset Management x96 Jim Apuyan,japuyan@evergreenhomeloans.comCybersecurity x96 Nathan Sandver,nsandver@evergreenhomeloans.comProject MgmtMortgage Technology x96 Nancy Kloser,nkloser@evergreenhomeloans.comIf none of those fit your questionneed then please reach out to Debbie Johnson,dljohnson@evergreenhomeloans.com. "
3156,Retired,thank you for your e-mail. I no longer work for Intermap Technologies having retired at the end of April 2021.  If this is an important HR related matter please contact Karen Taylor at ktaylor@intermap.com.
1994,MovedOut, Whelan is no longer with Blueprint Medicines. Please contact Tat Chu at TChu@blueprintmedicines.com for assistance. 
1576,Deactivated,I am no longer employed with Family Health Center. 
2051,MovedOut,Thank you for contacting Chaithanya Projects. We regret to inform you that Mr. Abhishek is no longer working with us. Please direct any future correspondence to Ms. Lakshmi Sastri at lakshmi. sastri@chaithanya.com. 
4019,Unsubscribed,Unsubscribe please. 
307,AgreedToMeet,Please share my number to your executive for requirement. 9607918282 
2916,OutOfOffice,I am just returning to the office from an extended leave. Please know my response will be delayed as I get caught back up to speed. If this requires urgent action please shoot me a slack or text message at 847-385-8985. 
2664,OutOfOffice,I will be on PTO on 16th 17th and 18th December and followed by Saturday & Sunday hence responses will be delayed. 
3604,SeekingMoreInfo,I am reaching out in reference to your email conversation with mycolleague PaulineSeifert regarding our digital marketing offerings
593,ConnectLater,Thank you for your email. 
1069,ConnectLater,Thanksfor your introduction. Will get in touch with you if required. Thanks  
2010,MovedOut,"Thank you for your email.  As of 932021 I am no longer working at Wesley.  Please contact your new IT team contact if we were working on a current project.  Otherwise please call 206-824-5000 and ask to be put in touch with the new VP of IT. Jesse DykshoornVP Information TechnologyPhone: 206-870-1270Email: JDykshoorn@WesleyHomes.org,JDykshoorn@WesleyHomes.orgwww. wesleychoice.org"
2699,OutOfOffice,"I am OOO enjoying vacation time with my family. If you have an urgent need please reach out to:cody@gabi.com,cody@gabi.coma or kristen@gabi.com"
2455,OutOfOffice,I am on leave from 21st Feb 2018 to 24th Feb 2018 In case of an urgent requirment please contact Mr. Munish Sharma - Ext 3853 or Mr. Amit Jadhav Ext 4497
1993,MovedOut,Coby Crouch is no longer with Amazing Lash Studio. Please update your records. You can contact the current Director Chriss at crichards@wellbizbrands.com
553,ConnectLater,Thanks for your follow up. We are not planning anything now due to the situation. Will definitely come back to you once our plans are made
3870,Unsubscribed,I am interested in taking talent corner hr services francse but the feesis too high for me because In this pandemic situation we dont have so muchamount of money in our hand people aure suffering to get the 2 time foodand we also belong to the middle class family we have to work with thisreputated organization but the fees is too high and we cannot pay anyamount and also talent corner is demanding share from our earnings meanstaking 3lakhs also and also taking the 30 from our profit no this is notfare and in brochure the portal cost is mentioned is too much high Ill buyand give to talent corner how much portal they want I have the tie up withsne monster apne apna jobs I used portals and also sell it this is notthe way to take frnancse this is not fare huge amount taking . . so sorrybut I am not interested bcoz of this money taking policies . please dontdisturb me again or else Ill file and complaint legally against this emailand on sender of this email
2103,OutOfOffice,Thanks for your email. I am on medical leave this week. I will get back to you when I return to work. 
3026,ReferredSomeone,Thank you for your email. This is an automatic reply to your message. Please contact Jim MacPherson jim@olaplex.com for further assistance
2207,OutOfOffice,I am currently on maternity leave with no access to mail. 
1604,Deactivated, thank you for the message but the scope of activity matching the candidates expertise is not any longer under my responsibility. 
1454,Deactivated,thank you for your email but currently Im not interested in AI Recruitment Assistant. If we will have business needs for this service we will definitely contact you
3177,Retired,I have retired from the San Francisco Airport Commission. If you need assistance please contact Chris Arrigale at 650-821-5026. 
3237,SeekingMoreInfo,Give me details about the job profile. what kind of job is this
1416,Deactivated,I thank you for contacting me. We do not require your service. Thanks 
688,ConnectLater,Yes. . . . actually plan is postponed bcoz of covid situationWil get u in touch wid u again. . 
915,ConnectLater,Thanks for the e-mail. It isnt really what I would be looking for plus I am based in Yorkshire. I cant currently think of anyone that might be suitable either sorry. I attach a copy of my CV for possible future roles. 
2648,OutOfOffice,I'm currently out of the office for during the week of september 14th. 
1865,MovedOut,I am no longer at RMS.  If you are an existing vendor please contact the representative you were directed to. ThanksMita
860,ConnectLater,thanks for your e-mail and sorry for not answering sooner. At the moment we are not interested in your proposal but we have noted your reference and we will let you know if this will change
2169,OutOfOffice,"Vacation Alert
Happy New Year
I am currently on vacation and unavailable to respond to your email until my return on Monday January 6th. "
1678,Deactivated,No
665,ConnectLater,I did not hear back after i sent a previous mail regarding the commercials. we have openings now. 
3921,Unsubscribed, I have left the job and doing agri business please do not disturb again. 
3610,SeekingMoreInfo,Total Gas amp Power Ltd wish to inform you that we have considered under our current vacant job position within the firm to notify you on this employment opportunity with our company. We are affiliated to various job recruitment websites communities etc and your information was submitted to us for employment consideration depending on the current job vacancies available. We are in search of a responsible and qualified job candidate like you with a good school certificate for an employment to work with our company and we hope you will consider this employment letter which represents your call up letter for work resumption within 90 days of this notice. Total is a global group of energy and petrochemicals companies with around 102000 employees in more than 100 countries and territories. Total helps to meet the worlds growing demand for energy in economically environmentally and socially responsible way. It also ships crude oil worldwide through an affiliated company and participates in petroleum refining and marketing activities at home and abroad. Ensure to indicate your interest by :application@totalgp. uk clicking here to submit your updated CV
479,AgreedToMeet,Could we either do before 1200 or after 1500 pleaseC. V attached
239,AgreedToMeet,I have another kind of partnership in mind if youre interested but Im guessing your outreach efforts are already going well.in case youre looking for better results Ive been training people all around Austin who are frustrated because their outreach efforts dont yield the results they want and they arent able to turn casual conversations into business opportunities. Let me know if youre interested in talking about your prospecting. 
1168,Deactivated, Were not looking to hire anyone in this space. If we have any relevant marketing vacancies well consider your help. Please pause your communications until then
2162,OutOfOffice,"I am on leave and would be back in office on 4th Jan 2021. During the period I will have limited access of phone and mails. If you require immediate support please text or call me. 
KAPIL JAIN"
2006,MovedOut,After April 2nd 2021 I will no longer be employed at Seco South II Inc. For imediate assistance call 727-536-1924. or email Rodney Owen at rodney@secosouth.com
1149,Deactivated,Thank you for the info but we do our drafting and detailing inhouse only
972,ConnectLater,Thanks  for a sending  mail our contact with u shortly. 
2046,MovedOut,Yes we are happy to be associated with Talent Corner. Bhumi is no longer in services and myself is taking care till further notice
3067,ReferredSomeone, MinaksThanks for reaching out. I am not the right person for this request. think 
2600,OutOfOffice, I will be out of the office and on vacation for the next two weeks. I return on October 13. I will respond to emails but please be patient. I may take a day to answer your email. If this is an emergency contact Gregory at 408-888-3311. 
3106,ReferredSomeone,If you need immediate assistance please contact us at hr@tekfriday.com
1258,Deactivated, Thanks for emailWe are all ok with recruitment so no further action required
3866,Unsubscribed,Pls dont mail again and again when we need help we will definitely get in touch with you
2618,OutOfOffice,I am out of the office on business and then PTO through October 8th. I will have general access to email and availability for some calls. If you need to speak to me urgently please call my cell phone at 301-526-8136. 
1941,MovedOut,Thank you for contacting Ameri-Force Management Services Inc. . We regret to inform you that Andy Nauman is no longer employed here. Please direct any future correspondence to Joshua Manning at JManning@ameriforce.com. This is an automated reply. For your convenience this email has been automatically forwarded to Joshua Manning. 
3758,SeekingMoreInfo,Kindly find the attached brochure of our LMS and a crisp Demo video linkfor your reference. LMS Demo link: 
2798,OutOfOffice,I will be out-of-office from December 24 - January 2. I will reply to emails upon my return. 
133,AgreedToMeet,Lets connect sometime this weekend to understand and discuss your proposal
1625,Deactivated,Thank you for your persistence . Work has been a little busy however we are not looking to hire anyone at the moment. 
2717,OutOfOffice,I am currently out of the office on annual leave returning on Monday 16th November. I have no access to my emails during this time. If your query is urgent please call the main office
79,AgreedToMeet,It would be ok but I prefer google meet. 
3466,SeekingMoreInfo,We are looking for help with security at our gated community in Hyderabad. I would also like to know about your services for our projects in Goa. With best 
3096,ReferredSomeone,Ms Laura Gagnon is responsible for our recruitments in the US. Kindly  be in touch with her directly in case. Kr Helena
263,AgreedToMeet,12 pm pls
1998,MovedOut,Thanks for your message. Please be aware this mailbox is no longer monitored.   Mail relating to RBSI activity should be sent direct to my RBSI account. 
118,AgreedToMeet,My colleague Shane has forwarded your email regarding the belowopportunity please call to discuss if the opportunity  is still available0755791069Kind 
3021,ReferredSomeone,I forwarded  your Email to the HR department. They will communicate with you in case they need your support
3398,SeekingMoreInfo,I dont see any commercials here. Can you please share more details on the same Thanks. 
1439,Deactivated,I havent worked as a QS for a manufacturer before. This doesnt seem to be a right fit are tlooking for someone with a consultancy background
3229,Retired,No doubt Rachel that your publication is good and the cost reasonable but as said Im retired have no use for most of ur info anymore and amin the processes of winding down my company. Sent from my iPad 
319,AgreedToMeet,Thank you for your email.  I would be interested in speaking with you aboutthis position.  Do you have any availability today  Let me know.  
3352,SeekingMoreInfo,I did apply to Applied AI consulting through college campus interview inJune. Just wanted to ask if this is regarding that rejection Thanks  
212,AgreedToMeet, Kindly contact me 91 9999979927 tomorrow @ 1. 30 PM. 
3938,Unsubscribed,Please STOP. 
2448,OutOfOffice, I am not in office on 10th July as its a public holiday in Singapore and I will have intermittent access to email please call me on my mobile if there is any urgent. Thanks
3109,ReferredSomeone,I have forwarded your email to our TA team please connect with Mr. VilasTA - Lead  Email ID - vilaskulkarni@waycool.in
3015,ReferredSomeone,Please connect with Dennis Schutte - our recruitment lead
3296,SeekingMoreInfo,Thanks NehaKindly send your company profile and details and services which you canarrange for Mfg company. 
2259,OutOfOffice,Thank you for your email. I am on extended leave  for personal reasons until the 4th January 2022. If it is important please call our office on 44 01295 273000 otherwise I will get back to you as soon as possible upon my return. 
738,ConnectLater, Julia is responsible HR Manager. She will follow up and report correspondingly. 
62,AgreedToMeet,9167701969Call after 12:00 noon
1675,Deactivated,Thank you for  your interest but we have no need for those skillsets. 
1102,Deactivated,Thanks Minakshi for the follow-up. But we do not need these services at this point in time. 
812,ConnectLater,We are discussing on the proposal internally we will get in touch with you shortly. 
1184,Deactivated, Thanks for reaching out.  Unfortunately Im not looking to change from my current role at this time.  All the best recruiting this role it looks like a very interesting position. 
3660,SeekingMoreInfo,Apologies I was ooo last week. Please find my full CV attached.  Let me know if you are still interested in continuing the conversation after you have reviewed it. 
3336,SeekingMoreInfo,Who is the contractor and what is the and benefits
2014,MovedOut,Randy Vane is no longer with Evidation. Please forward your email tomnasch@evidation.com. 
850,ConnectLater,We will respond to you as soon as possible. 
3281,SeekingMoreInfo, ndWe usually prefer bulk orders. :However would be happy to help you with this but bulk pricing wont be applicable. We will charge INR 8000  GST for the full site. Lumpsum. Would you like to start with a complimentary 200 word sample
4103,Unsubscribed,if you spam me 5 more times ill certainly respond:DKind 
3515,SeekingMoreInfo,I did see the e mail Mark but Doncaster is too far away from Bristol. I would like something more local. I am available and seeking work either contract or permanent. My day rate is about 400Please find my cv attached. 
3915,Unsubscribed,Not interested pls stop spamming
3316,SeekingMoreInfo, please send me more information about FRF conditioning system like Flow rates pressures and pricing
3434,SeekingMoreInfo,Can you forward me previous mail again am not getting it in my mail box. 
